bcr_sample_barcode	bcr_analyte_barcode	a260_a280_ratio	amount	analyte_type	concentration	gel_image_file	spectrophotometer_method	well_number
TCGA-A8-A08R-10A	TCGA-A8-A08R-10A-01D	1.89	16.52	DNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A08S-01A	TCGA-A8-A08S-01A-11D	2.08	52.30	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A08S-01A	TCGA-A8-A08S-01A-11R	1.83	33.90	RNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A08S-10A	TCGA-A8-A08S-10A-01D	2.00	17.94	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A08T-01A	TCGA-A8-A08T-01A-21D	1.95	44.41	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A08T-01A	TCGA-A8-A08T-01A-21R	1.92	27.71	RNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A08T-10A	TCGA-A8-A08T-10A-01D	1.91	31.19	DNA	0.17	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A08X-01A	TCGA-A8-A08X-01A-21D	1.98	67.06	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A08X-01A	TCGA-A8-A08X-01A-21R	1.76	51.81	RNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A08X-10A	TCGA-A8-A08X-10A-01D	2.00	18.88	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A08Z-01A	TCGA-A8-A08Z-01A-21D	2.03	65.30	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A08Z-01A	TCGA-A8-A08Z-01A-21R	1.80	38.30	RNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A08Z-10A	TCGA-A8-A08Z-10A-01D	1.97	14.53	DNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A090-01A	TCGA-A8-A090-01A-11D	1.92	25.56	DNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A090-01A	TCGA-A8-A090-01A-11R	1.82	25.62	RNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A090-10A	TCGA-A8-A090-10A-01D	1.93	11.87	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A091-01A	TCGA-A8-A091-01A-11D	2.03	59.34	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A091-01A	TCGA-A8-A091-01A-11R	1.80	38.30	RNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A091-10A	TCGA-A8-A091-10A-01D	1.94	16.52	DNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A092-01A	TCGA-A8-A092-01A-11D	1.85	35.28	DNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A092-01A	TCGA-A8-A092-01A-11R	1.84	22.61	RNA	0.17	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A092-10A	TCGA-A8-A092-10A-01D	1.95	19.09	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A093-01A	TCGA-A8-A093-01A-11D	1.88	38.04	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A093-01A	TCGA-A8-A093-01A-11R	1.87	13.48	RNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A093-10A	TCGA-A8-A093-10A-01D	1.92	33.14	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A094-01A	TCGA-A8-A094-01A-11D	1.92	60.36	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A094-01A	TCGA-A8-A094-01A-11R	1.79	78.67	RNA	0.17	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A094-10A	TCGA-A8-A094-10A-01D	1.98	16.05	DNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A095-01A	TCGA-A8-A095-01A-11D	1.90	21.01	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A095-01A	TCGA-A8-A095-01A-11R	1.77	19.71	RNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A095-10A	TCGA-A8-A095-10A-01D	1.91	8.26	DNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A096-01A	TCGA-A8-A096-01A-11D	1.87	47.30	DNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A096-01A	TCGA-A8-A096-01A-11R	1.83	44.79	RNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A096-10A	TCGA-A8-A096-10A-01D	1.94	20.24	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A097-01A	TCGA-A8-A097-01A-11D	2.00	43.81	DNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A097-01A	TCGA-A8-A097-01A-11R	1.87	26.61	RNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A097-10A	TCGA-A8-A097-10A-01D	2.00	31.23	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A099-01A	TCGA-A8-A099-01A-11D	2.00	48.24	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A099-01A	TCGA-A8-A099-01A-11R	1.76	50.20	RNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A099-10A	TCGA-A8-A099-10A-01D	1.95	22.70	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A09A-01A	TCGA-A8-A09A-01A-11D	1.97	27.96	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A09A-01A	TCGA-A8-A09A-01A-11R	1.82	30.87	RNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A09A-10A	TCGA-A8-A09A-10A-01D	1.95	16.99	DNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A09B-01A	TCGA-A8-A09B-01A-11D	1.90	30.44	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A09B-01A	TCGA-A8-A09B-01A-11R	1.87	21.95	RNA	0.17	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A09B-10A	TCGA-A8-A09B-10A-01D	1.94	16.05	DNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A09C-01A	TCGA-A8-A09C-01A-11D	1.95	40.92	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A09C-01A	TCGA-A8-A09C-01A-11R	1.89	24.72	RNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A09C-10A	TCGA-A8-A09C-10A-01D	1.90	20.94	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A09D-01A	TCGA-A8-A09D-01A-11D	2.00	9.86	DNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A09D-01A	TCGA-A8-A09D-01A-11R	1.78	7.56	RNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A09D-10A	TCGA-A8-A09D-10A-01D	1.92	15.55	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A09E-01A	TCGA-A8-A09E-01A-11D	1.88	39.59	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A09E-01A	TCGA-A8-A09E-01A-11R	1.83	34.02	RNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A09E-10A	TCGA-A8-A09E-10A-01D	1.94	14.50	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A09G-01A	TCGA-A8-A09G-01A-21D	1.87	44.84	DNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A09G-01A	TCGA-A8-A09G-01A-21R	1.77	52.24	RNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A09G-10A	TCGA-A8-A09G-10A-01D	1.90	13.95	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A09I-01A	TCGA-A8-A09I-01A-22D	2.05	79.80	DNA	0.17	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A09I-01A	TCGA-A8-A09I-01A-22R	1.80	77.72	RNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A09I-10A	TCGA-A8-A09I-10A-01D	1.94	19.07	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A09K-01A	TCGA-A8-A09K-01A-11D	1.84	66.80	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A09K-01A	TCGA-A8-A09K-01A-11R	1.80	50.94	RNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A09K-10A	TCGA-A8-A09K-10A-01D	1.92	11.70	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A09M-01A	TCGA-A8-A09M-01A-11D	1.90	34.40	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A09M-01A	TCGA-A8-A09M-01A-11R	1.76	33.45	RNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A09M-10A	TCGA-A8-A09M-10A-01D	1.94	19.47	DNA	0.17	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A09N-01A	TCGA-A8-A09N-01A-11D	1.90	51.60	DNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A09N-01A	TCGA-A8-A09N-01A-11R	1.78	34.59	RNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A09N-10A	TCGA-A8-A09N-10A-01D	1.98	20.74	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A09Q-01A	TCGA-A8-A09Q-01A-11D	2.06	57.75	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A09Q-01A	TCGA-A8-A09Q-01A-11R	1.84	57.00	RNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A09Q-10A	TCGA-A8-A09Q-10A-01D	1.91	24.87	DNA	0.17	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A09R-01A	TCGA-A8-A09R-01A-11D	1.98	50.29	DNA	0.17	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A09R-01A	TCGA-A8-A09R-01A-11R	1.78	58.19	RNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A09R-10A	TCGA-A8-A09R-10A-01D	2.00	13.91	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A09T-01A	TCGA-A8-A09T-01A-11D	1.88	47.08	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A09T-01A	TCGA-A8-A09T-01A-11R	1.80	34.96	RNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A09T-10A	TCGA-A8-A09T-10A-01D	1.98	28.23	DNA	0.17	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A09V-01A	TCGA-A8-A09V-01A-11D	2.00	80.07	DNA	0.17	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A09V-01A	TCGA-A8-A09V-01A-11R	1.78	42.09	RNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A09V-10A	TCGA-A8-A09V-10A-01D	1.88	48.09	DNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A09W-01A	TCGA-A8-A09W-01A-11D	1.87	11.61	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A09W-01A	TCGA-A8-A09W-01A-11R	1.70	13.23	RNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A09W-10A	TCGA-A8-A09W-10A-01D	1.90	18.41	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A09X-01A	TCGA-A8-A09X-01A-11D	1.87	23.61	DNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A09X-01A	TCGA-A8-A09X-01A-11R	1.78	27.52	RNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A09X-10A	TCGA-A8-A09X-10A-01D	1.88	50.69	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A09Z-01A	TCGA-A8-A09Z-01A-11D	1.93	38.96	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A09Z-01A	TCGA-A8-A09Z-01A-11R	1.77	24.19	RNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A09Z-10A	TCGA-A8-A09Z-10A-01D	1.90	12.95	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A0A1-01A	TCGA-A8-A0A1-01A-11D	1.89	20.65	DNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A0A1-01A	TCGA-A8-A0A1-01A-11R	1.75	14.97	RNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A0A1-10A	TCGA-A8-A0A1-10A-01D	1.88	25.19	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A0A2-01A	TCGA-A8-A0A2-01A-11D	2.10	74.59	DNA	0.17	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A0A2-01A	TCGA-A8-A0A2-01A-11R	1.78	38.42	RNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A0A2-10A	TCGA-A8-A0A2-10A-01D	1.97	24.51	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A0A4-01A	TCGA-A8-A0A4-01A-11D	1.89	11.56	DNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A0A4-01A	TCGA-A8-A0A4-01A-11R	1.90	5.98	RNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A0A4-10A	TCGA-A8-A0A4-10A-01D	1.93	22.44	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A0A6-01A	TCGA-A8-A0A6-01A-12D	1.71	37.17	DNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A0A6-01A	TCGA-A8-A0A6-01A-12R	1.67	23.06	RNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A0A6-10A	TCGA-A8-A0A6-10A-01D	2.03	14.01	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A0A7-01A	TCGA-A8-A0A7-01A-11D	1.90	31.82	DNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A0A7-01A	TCGA-A8-A0A7-01A-11R	1.64	13.64	RNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A0A7-10A	TCGA-A8-A0A7-10A-01D	1.85	37.70	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A0A9-01A	TCGA-A8-A0A9-01A-11D	1.88	82.77	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A0A9-01A	TCGA-A8-A0A9-01A-11R	1.79	39.73	RNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A0A9-10A	TCGA-A8-A0A9-10A-01D	1.88	31.26	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A0AB-01A	TCGA-A8-A0AB-01A-11D	1.98	39.43	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A0AB-01A	TCGA-A8-A0AB-01A-11R	1.90	27.34	RNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A0AB-10A	TCGA-A8-A0AB-10A-01D	2.18	23.09	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A0AD-01A	TCGA-A8-A0AD-01A-11D	1.91	69.87	DNA	0.17	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A0AD-01A	TCGA-A8-A0AD-01A-11R	1.77	52.79	RNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A8-A0AD-10A	TCGA-A8-A0AD-10A-01D	2.00	20.01	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AN-A03X-01A	TCGA-AN-A03X-01A-21D	1.82	20.15	DNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AN-A03X-01A	TCGA-AN-A03X-01A-21R	1.68	13.96	RNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AN-A03X-10A	TCGA-AN-A03X-10A-01D	1.94	66.24	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AN-A03Y-01A	TCGA-AN-A03Y-01A-21D	1.95	91.02	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AN-A03Y-01A	TCGA-AN-A03Y-01A-21R	1.71	63.76	RNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AN-A03Y-10A	TCGA-AN-A03Y-10A-01D	1.94	78.38	DNA	0.17	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AN-A041-01A	TCGA-AN-A041-01A-11D	1.96	68.82	DNA	0.18	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AN-A041-01A	TCGA-AN-A041-01A-11R	1.81	39.47	RNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AN-A041-10A	TCGA-AN-A041-10A-01D	1.94	58.28	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AN-A046-01A	TCGA-AN-A046-01A-21D	1.98	53.37	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AN-A046-01A	TCGA-AN-A046-01A-21R	1.73	38.33	RNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AN-A046-10A	TCGA-AN-A046-10A-01D	1.94	60.87	DNA	0.17	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AN-A049-01A	TCGA-AN-A049-01A-21D	1.87	53.39	DNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AN-A049-01A	TCGA-AN-A049-01A-21R	1.79	45.22	RNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AN-A049-10A	TCGA-AN-A049-10A-01D	1.96	53.65	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AN-A04A-01A	TCGA-AN-A04A-01A-21D	1.89	31.51	DNA	0.13	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AN-A04A-01A	TCGA-AN-A04A-01A-21R	1.77	29.57	RNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AN-A04A-10A	TCGA-AN-A04A-10A-01D	2.05	30.58	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AN-A04C-01A	TCGA-AN-A04C-01A-21D	1.92	66.43	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AN-A04C-01A	TCGA-AN-A04C-01A-21R	1.74	45.72	RNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AN-A04C-10A	TCGA-AN-A04C-10A-01D	1.94	37.36	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AN-A04D-01A	TCGA-AN-A04D-01A-21D	1.95	85.16	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AN-A04D-01A	TCGA-AN-A04D-01A-21R	1.79	33.48	RNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AN-A04D-10A	TCGA-AN-A04D-10A-01D	1.92	54.86	DNA	0.17	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AN-A0AJ-01A	TCGA-AN-A0AJ-01A-11D	1.98	104.83	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AN-A0AJ-01A	TCGA-AN-A0AJ-01A-11R	1.81	87.65	RNA	0.17	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AN-A0AJ-10A	TCGA-AN-A0AJ-10A-01D	1.95	36.18	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AN-A0AK-01A	TCGA-AN-A0AK-01A-21D	1.92	36.46	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AN-A0AK-01A	TCGA-AN-A0AK-01A-21R	1.80	65.73	RNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AN-A0AK-10A	TCGA-AN-A0AK-10A-01D	1.97	8.01	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AN-A0AL-01A	TCGA-AN-A0AL-01A-11D	2.03	45.25	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AN-A0AL-01A	TCGA-AN-A0AL-01A-11R	1.62	16.68	RNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AN-A0AL-10A	TCGA-AN-A0AL-10A-01D	1.93	21.06	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AN-A0AM-01A	TCGA-AN-A0AM-01A-11D	2.00	52.10	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AN-A0AM-01A	TCGA-AN-A0AM-01A-11R	1.81	77.38	RNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AN-A0AM-10A	TCGA-AN-A0AM-10A-01D	2.00	63.79	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AN-A0AR-01A	TCGA-AN-A0AR-01A-11D	1.92	62.24	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AN-A0AR-01A	TCGA-AN-A0AR-01A-11R	1.83	71.76	RNA	0.17	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AN-A0AR-10A	TCGA-AN-A0AR-10A-01D	1.95	80.73	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AN-A0AS-01A	TCGA-AN-A0AS-01A-11D	1.97	30.84	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AN-A0AS-01A	TCGA-AN-A0AS-01A-11R	1.81	28.00	RNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AN-A0AS-10A	TCGA-AN-A0AS-10A-01D	2.06	75.78	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AN-A0AT-01A	TCGA-AN-A0AT-01A-11D	1.98	69.79	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AN-A0AT-01A	TCGA-AN-A0AT-01A-11R	1.76	60.66	RNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AN-A0AT-10A	TCGA-AN-A0AT-10A-01D	2.00	82.66	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AN-A0FD-01A	TCGA-AN-A0FD-01A-11D	1.98	47.42	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AN-A0FD-01A	TCGA-AN-A0FD-01A-11R	1.78	38.71	RNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AN-A0FD-10A	TCGA-AN-A0FD-10A-01D	1.97	67.88	DNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AN-A0FE-01A	TCGA-AN-A0FE-01A-11D	2.03	54.15	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AN-A0FE-01A	TCGA-AN-A0FE-01A-11R	1.85	32.93	RNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AN-A0FE-10A	TCGA-AN-A0FE-10A-01D	1.93	4.86	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AN-A0FF-01A	TCGA-AN-A0FF-01A-11D	1.98	69.28	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AN-A0FF-01A	TCGA-AN-A0FF-01A-11R	1.84	39.15	RNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AN-A0FF-10A	TCGA-AN-A0FF-10A-01D	1.88	66.53	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AN-A0FG-01A	TCGA-AN-A0FG-01A-11D	1.97	65.31	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AN-A0FG-01A	TCGA-AN-A0FG-01A-11R	1.80	46.09	RNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
